Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"contra filé";"Produto indisponível Filé De Merluza Se7e Mares 800g";19,98;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13541/file-de-merluza-se7e-mares-800g;2026-03-21 22:27:56
"contra filé";"Produto indisponível Filé De Panga Se7e Mares 800g";19,98;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13539/file-de-panga-se7e-mares-800g;2026-03-21 22:27:56
"contra filé";"Produto indisponível File Polaca Oceani 800g";19,98;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13309/file-polaca-oceani-800g;2026-03-21 22:27:56
"contra filé";"Prato Pronto Seara 500g Filé De Frango À Parmegiana";21,89;500g;Spani Atacadista;https://www.spanionline.com.br/produto/2386/prato-pronto-seara-500g-file-de-frango-a-parmegiana;2026-03-21 22:27:56
"contra filé";"Frango File Peito Aurora 1kg";22,50;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1108/frango-file-peito-aurora-1kg;2026-03-21 22:27:56
"contra filé";"Carne Suína File Suíno Congelado Seara 700g";23,21;700g;Spani Atacadista;https://www.spanionline.com.br/produto/12244/carne-suina-file-suino-congelado-seara-700g;2026-03-21 22:27:56
"contra filé";"Filé De Polaca Meggs 800g";23,29;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13101/file-de-polaca-meggs-800g;2026-03-21 22:27:56
"contra filé";"Filé De Peito Temperado Seara Iqf 1kg";23,50;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/11588/file-de-peito-temperado-seara-iqf-1kg;2026-03-21 22:27:56
"contra filé";"Filé De Panga Meggs 800g";23,90;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13103/file-de-panga-meggs-800g;2026-03-21 22:27:56
"contra filé";"Filé De Sobrecoxa Congelado Chimichurri Aurora Premium 800g";25,70;800g;Spani Atacadista;https://www.spanionline.com.br/produto/11410/file-de-sobrecoxa-congelado-chimichurri-aurora-premium-800g;2026-03-21 22:27:56
"contra filé";"Filé De Merluza Sem Pele Meggs 800g";25,90;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13102/file-de-merluza-sem-pele-meggs-800g;2026-03-21 22:27:56
"contra filé";"Filé De Tilápia Sem Pele Seara Congelado 600g";25,90;600g;Spani Atacadista;https://www.spanionline.com.br/produto/12762/file-de-tilapia-sem-pele-seara-congelado-600g;2026-03-21 22:27:56
"contra filé";"Filé De Merluza Oceani 800g";33,90;800g;Spani Atacadista;https://www.spanionline.com.br/produto/13331/file-de-merluza-oceani-800g;2026-03-21 22:27:56
"contra filé";"Filé de Peixe Tilápia Vitalmar Congelado 800g";33,90;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-vitalmar-congelado-55351-12388/p;2026-03-21 22:27:56
"contra filé";"File De Tilapia Aurora 800g";34,90;800g;Spani Atacadista;https://www.spanionline.com.br/produto/1092/file-de-tilapia-aurora-800g;2026-03-21 22:27:56
"contra filé";"Filé de Peixe Tilápia Copacol Congelado 800g";36,80;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-copacol-congelado-47952-12374/p;2026-03-21 22:27:56
"contra filé";"Filé de Peixe Tilápia Aurora Congelado 800g";37,90;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-aurora-congelado-pacote-com-800g-61742-12355/p;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Congelado IQF Aurora 3kg";47,70;3kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-congelado-iqf-aurora-embalagem-com-3kg-45420-11757/p;2026-03-21 22:27:56
"contra filé";"Filé de Peixe Salmão Costa Sul Congelado 800g";84,50;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-salmao-costa-sul-congelado-9512-59184/p;2026-03-21 22:27:56
"contra filé";"Filé de Salmão Bom Peixe Congelado 1kg";90,90;1kg;Atacadão;https://www.atacadao.com.br/file-de-salmao-bom-peixe-congelado-pacote-com-1kg-63297-12432/p;2026-03-21 22:27:56
"contra filé";"Carne Bovina Filé Mignon Pul 500g";105,90;500g;Spani Atacadista;https://www.spanionline.com.br/produto/12812/carne-bovina-file-mignon-pul-500g;2026-03-21 22:27:56
"contra filé";"Contra Filé Bovino Resfriado Peça 4kgo médio 4 kg Valor do kg: onar";179,60;4kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/contra-file-bovino-resfriado-peca-4kg;2026-03-21 22:27:56
"contra filé";"Filé de Peito de Frango Canção Congelado 20kg";276,00;20kg;Atacadão;https://www.atacadao.com.br/file-de-peito-de-frango-cancao-congelado-88857-40087/p;2026-03-21 22:27:56
"contra filé";"Filé Peito de Frango Lar Congelado Sem Osso e Sem Pele 20kg";299,60;20kg;Atacadão;https://www.atacadao.com.br/file-peito-de-frango-lar-congelado-sem-osso-e-sem-pele-47335-12607/p;2026-03-21 22:27:56
