Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
acém;Carne Moída Bovina resfriada do Chef Acém 500gduto indisponível;19,9;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/carne-moida-bov-do-chef-acem-500g;21/03/2026 06:30
acém;Acém Bovino Resfriado Pedaço 1kgo médio 1 kg Valor do kg: onar;37,9;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/acem-bovino-resfriado-pedaco-1kg;21/03/2026 06:30
músculo;Músculo Bovino Resfriado Peça 4kgo médio 4 kg Valor do kg: onar;135,6;4kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/musculo-bovino-resfriado-peca-4kg;21/03/2026 06:30
patinho;Carne Moída Bovina Patinho Reserva 500gpartir de 12 unidadesregras Produto indisponível;29,9;500g;Tenda Atacado;https://www.tendaatacado.com.br/produto/carne-moida-bov-patinho-reserva-500g;21/03/2026 06:30
capa de coxão mole;Capa de Coxão Mole Bovino 2,2kg;74,58;2,2kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/capa-coxao-mole-bov-pc-vc-kg;22/03/2026 06:30
coxão mole;Coxão Mole Bovino Resfriado Peça 10kg;379;10kg;Tenda Atacado;Coxão Mole Bovino Resfriado  10kg | Tenda Atacado;23/03/2026 06:30
