Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
filé de merluza;Filé de Peixe Salmão Costa Sul Congelado 800g;84,5;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-salmao-costa-sul-congelado-9512-59184/p;21/03/2026 21:34
filé de merluza;Filé de Salmão Bom Peixe Congelado 1kg;90,9;1kg;Atacadão;https://www.atacadao.com.br/file-de-salmao-bom-peixe-congelado-pacote-com-1kg-63297-12432/p;21/03/2026 21:34
filé de merluza;Carne Bovina File Mignon Friboi 500g;110,14;500g;Spani Atacadista;https://www.spanionline.com.br/produto/11314/carne-bovina-file-mignon-friboi-500g;21/03/2026 21:34
peixe tilápia;Ração Kitekat 70g Sache Peixe;2,39;70g;Spani Atacadista;https://www.spanionline.com.br/produto/9924/racao-kitekat-70g-sache-peixe;21/03/2026 21:34
peixe tilápia;Produto indisponível Ração Whiskas Sabor Peixe 900g;2,39;900g;Spani Atacadista;https://www.spanionline.com.br/produto/10490/racao-whiskas-sabor-peixe-900g;21/03/2026 21:34
peixe tilápia;Produto indisponível File De Tilapia S/p Oceani 800g;2,39;800g;Spani Atacadista;https://www.spanionline.com.br/produto/14805/file-de-tilapia-sp-oceani-800g;21/03/2026 21:34
peixe tilápia;Produto indisponível Filé Tilapia Pul 600g;2,39;600g;Spani Atacadista;https://www.spanionline.com.br/produto/15048/file-tilapia-pul-600g;21/03/2026 21:34
peixe tilápia;Postas de Tilápia Congelada Aurora 800gcionar;19,9;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/postas-de-tilapia-congelada-aurora-800g;21/03/2026 21:34
peixe tilápia;Peixe Posta de Tilápia Aurora Congelado 800g;20,9;800g;Atacadão;https://www.atacadao.com.br/peixe-posta-de-tilapia-aurora-congelado-89648-48442/p;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Copacol Congelado 400g;20,9;400g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-copacol-congelado-56601-12369/p;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Costa Sul Cong 400g;20,9;400g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-costa-sul-congelado-1283-55331/p;21/03/2026 21:34
peixe tilápia;Peixe Posta de Tilápia C. Vale Congelado 800g;21,2;800g;Atacadão;https://www.atacadao.com.br/peixe-posta-de-tilapia-c--vale-congelado-9003-58982/p;21/03/2026 21:34
peixe tilápia;Peixe Tilápia em Postas Copacol Congelado 800g;21,5;800g;Atacadão;https://www.atacadao.com.br/;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Copacol Congelado Empanado 400g;25,8;400g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-copacol-congelado-empanado-67547-12364/p;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Seara Congelado 600g;29,7;600g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-seara-congelado-74428-12382/p;21/03/2026 21:34
peixe tilápia;Filé De Tilápia Sem Pele Seara Congelado 600g;29,9;600g;Spani Atacadista;https://www.spanionline.com.br/produto/12762/file-de-tilapia-sem-pele-seara-congelado-600g;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Vitalmar Congelado 800g;33,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-vitalmar-congelado-55351-12388/p;21/03/2026 21:34
peixe tilápia;File De Tilapia Aurora 800g;34,9;800g;Spani Atacadista;https://www.spanionline.com.br/produto/1092/file-de-tilapia-aurora-800g;21/03/2026 21:34
peixe tilápia;Filé de Tilápia Congelado Canção 800gpartir de 3 unidadesregras;35,9;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/peixe-cong-tilapia-cancao-file-800g;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Copacol Congelado 800g;36,8;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-copacol-congelado-47952-12374/p;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia C.Vale Congelado 800g;37,8;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-c-vale-congelado-94552-44849/p;21/03/2026 21:34
peixe tilápia;Filé de Peixe Tilápia Aurora Congelado 800g;37,9;800g;Atacadão;https://www.atacadao.com.br/file-de-peixe-tilapia-aurora-congelado-pacote-com-800g-61742-12355/p;21/03/2026 21:34
peixe tilápia;Empanado Tirinhas Copacol 1,5kg Tilápia;38,49;5kg;Spani Atacadista;https://www.spanionline.com.br/produto/14146/empanado-tirinhas-copacol-15kg-tilapia;21/03/2026 21:34
peixe tilápia;Filé de Tilápia Congelado Aurora 800gpartir de 3 unidadesregras;38,9;800g;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-tilapia-aurora-800g-27455;21/03/2026 21:34
peixe tilápia;Ração Whiskas Sabor Peixe 2,7kg;49,9;7kg;Spani Atacadista;https://www.spanionline.com.br/produto/10493/racao-whiskas-sabor-peixe-27kg;21/03/2026 21:34
peixe tilápia;Filé de Tilápia Congelado Lar 5kgcionar;189,99;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/file-de-tilapia-congelado-lar-5kg;21/03/2026 21:34
