Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
arroz;Arroz Tarumã 1kgcionar;3,29;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/arroz-taruma-1kg;22/03/2026 23:31
feijão;Feijão Carioca Taruma 1Kg;7,55;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/feijao-carioca-taruma-1kg;22/03/2026 23:31
extrato de tomate;Extrato de Tomate Elefante 1,04Kg;19,8;1,04kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/extrato-de-tomate-elefante-1-04kg;22/03/2026 23:31
creme de leite;Creme de Leite Italac 200gcionar;2,49;200g;Tenda Atacado;https://www.tendaatacado.com.br/produto/creme-de-leite-italac-200g-1419;22/03/2026 23:31
ketchup;Ketchup Quero 1028g;11,89;1028g;Atacadão;https://www.atacadao.com.br/ketchup-quero-pet-com-1028g-65821-26463/p;22/03/2026 23:31
mostarda;Mostarda Tradicional Cepêra 1,01Lcionar;12,25;01l;Tenda Atacado;https://www.tendaatacado.com.br/produto/mostarda-tradicional-cepera-1-01l-6897;22/03/2026 23:31
macarrão tipo espaguete;Macarrão com Ovos Adria Espaguete 500g;2,99;500g;Atacadão;https://www.atacadao.com.br/macarrao-com-ovos-adria-espaguete-34028-1061/p;22/03/2026 23:31
molho de tomate;Molho de Tomate Tradicional Select 1,7kg;12,09;1,7kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/molho-de-tomate-tradicional-select-1-7kg;22/03/2026 23:31
óleo de soja;Óleo de Soja Soya Pet 900ml;7,29;900ml;Tenda Atacado;https://www.tendaatacado.com.br/produto/oleo-de-soja-soya-pet-900ml-1291;22/03/2026 23:31
